"","Lecture","Responsive","Student_Guide","Lab_Exercises","Classroom","Computer","Network","See_Hear","Had_Knowledge_Skills","Learned_What_I_Needed","Technical_Details"
"395",30,30,30,30,30,30,30,30,30,30,30
"396",30,30,30,30,30,30,30,30,30,30,30
"397",40,40,40,40,40,40,30,40,NA,40,40
"398",40,40,30,30,30,30,30,30,40,10,20
"399",30,30,30,30,30,30,30,30,30,30,30
"400",30,40,30,30,40,40,40,40,40,40,30
"401",40,40,30,30,40,30,40,40,30,30,30
"402",40,30,40,40,30,30,30,30,30,40,30
"403",40,40,40,40,30,40,40,40,NA,30,40
"404",30,30,40,40,40,30,40,40,30,40,40
"405",40,40,40,40,40,40,30,40,40,40,40
"406",40,40,40,40,40,40,40,40,40,40,40
"407",40,40,30,30,30,30,40,40,40,30,40
"408",30,40,30,40,30,30,30,30,30,30,40
"409",30,30,30,30,30,40,20,40,30,30,40
"410",30,40,30,30,30,30,30,30,30,30,30
"411",30,40,30,30,40,30,40,40,20,40,40
"412",40,40,40,40,40,40,40,40,40,40,40
"413",40,40,40,40,40,40,40,40,40,40,40
"414",40,40,30,40,40,30,40,30,40,30,30
"415",40,30,30,30,40,40,40,40,30,30,30
"416",40,40,40,40,40,40,40,40,40,40,40
"417",40,40,40,40,30,40,40,40,40,30,40
"418",30,30,30,30,40,30,30,30,30,30,30
"419",30,30,30,30,30,30,30,30,30,30,30
"420",30,30,30,30,30,30,30,30,30,30,30
"421",30,30,30,30,30,30,30,30,30,30,30
"422",40,40,30,30,30,30,30,30,30,30,30
"423",30,30,NA,NA,30,NA,NA,30,20,30,30
"424",30,40,NA,NA,NA,NA,NA,NA,30,30,30
"425",30,30,30,30,30,30,30,40,30,30,30
"426",30,40,30,30,30,30,30,30,30,30,30
"427",40,40,40,30,40,40,40,40,40,40,40
"428",40,40,40,40,40,40,40,40,20,40,40
"429",40,40,40,40,40,40,40,40,40,40,40
"430",40,40,40,40,40,40,40,NA,30,NA,30
"431",30,30,30,30,30,30,30,30,20,30,30
"432",30,30,30,30,30,30,30,30,30,30,30
"433",30,30,30,30,30,30,30,30,20,30,30
"434",40,40,40,40,30,30,30,30,30,40,30
"435",40,40,40,30,30,40,40,30,30,30,30
"436",40,30,30,30,30,30,30,30,30,30,30
"437",40,40,30,30,30,30,30,40,30,40,30
"438",40,40,40,30,40,30,30,30,40,40,30
"439",40,40,40,40,40,30,40,40,30,30,40
"440",40,40,40,40,40,40,40,40,40,40,40
"441",30,40,40,40,40,40,40,40,40,40,30
"442",40,40,NA,40,40,40,40,40,40,40,40
"443",40,40,40,40,40,40,40,40,40,40,30
"444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",40,40,40,40,40,40,40,40,40,40,40
"446",40,40,30,40,30,30,40,40,40,40,40
"447",40,40,40,40,30,40,30,40,40,40,40
"448",40,40,40,40,30,40,30,40,40,30,30
"449",40,40,40,40,30,30,30,40,40,30,40
"450",30,30,30,30,30,30,30,30,30,30,30
"451",40,40,30,40,30,30,30,40,30,30,30
"452",40,40,30,30,40,40,40,40,40,30,30
"453",40,40,40,40,30,40,30,40,40,30,30
"454",40,40,40,40,30,30,40,40,30,30,30
"455",40,40,40,40,30,30,40,40,40,40,30
"456",30,40,40,40,30,30,30,40,40,30,40
"457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458",40,40,40,40,40,NA,40,40,20,40,40
"459",40,40,40,40,40,40,40,40,40,40,40
"460",30,30,40,40,40,40,40,40,30,30,30
"461",40,40,40,40,40,40,40,40,30,30,40
"462",40,40,40,30,40,40,40,40,40,30,30
"463",40,40,30,40,40,30,30,40,30,40,40
"464",40,40,30,30,30,30,30,30,30,30,30
"465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466",40,40,30,30,30,30,30,30,30,30,30
"467",40,40,40,40,30,40,40,40,40,40,40
"468",40,40,30,40,40,40,40,40,40,30,30
"469",40,40,40,40,40,40,40,40,30,40,40
"470",40,40,40,40,30,40,40,40,30,40,40
"471",40,40,40,40,40,40,40,40,20,40,40
"472",30,40,30,40,30,30,20,30,30,30,30
"473",30,30,30,30,20,30,10,30,30,30,30
"474",40,40,40,40,40,40,30,40,40,40,40
"475",40,40,40,40,40,40,40,40,30,30,40
"476",40,40,40,40,40,40,40,40,40,40,40
"477",40,40,40,40,40,40,30,40,30,40,40
"478",30,30,30,30,30,30,30,30,30,30,30
"479",40,40,30,30,30,30,30,30,30,30,30
"480",40,40,30,40,40,40,30,40,30,30,30
"481",40,40,40,40,40,40,30,40,40,40,40
"482",30,40,40,30,30,30,30,30,30,30,30
"483",40,40,40,40,40,40,40,40,30,40,40
"484",40,40,40,40,30,40,40,40,30,30,40
"485",40,40,40,40,40,40,40,40,40,40,40
"486",40,40,30,30,30,30,30,30,30,30,30
"487",40,40,40,40,40,40,40,40,30,40,40
"488",40,40,40,40,40,40,40,40,30,40,40
"489",40,40,30,40,40,40,40,40,20,40,40
"490",40,40,NA,NA,NA,NA,NA,NA,NA,NA,40
"491",40,40,40,40,40,40,30,40,40,40,40
"492",37.1488469601677,38.0210526315789,34.8827292110874,35.5084745762712,33.5456475583864,35.3548387096774,35.2553191489362,36.6242038216561,33.4607218683652,33.6652542372881,34.0042826552463
"493",40,40,40,40,40,40,30,40,40,40,40
"494",4.87715301860273,4.19457894913366,5.56978841275335,5.42815771527896,5.68289119133403,5.60296481186354,5.60219301069294,4.86684048771238,5.69789497423143,5.6356294086102,5.59966113219997
