"","Lecture","Responsive","Student_Guide","Lab_Exercises","Classroom","Computer","Network","See_Hear","Had_Knowledge_Skills","Learned_What_I_Needed","Technical_Details"
"371",40,40,30,40,40,30,30,40,30,30,30
"372",40,40,40,30,30,30,30,30,30,30,30
"373",40,40,40,40,30,40,40,40,10,40,40
"374",40,40,40,40,40,10,40,40,20,30,40
"375",40,40,40,40,40,30,40,40,30,30,40
"376",30,40,30,30,30,30,40,30,40,30,30
"377",40,40,40,40,40,40,40,40,40,30,40
"378",40,40,40,40,30,30,30,NA,30,40,30
"379",40,40,40,40,30,30,40,40,30,40,40
"380",40,40,40,40,40,40,40,40,30,40,40
"381",40,40,40,40,40,40,40,40,40,40,40
"382",40,40,40,40,40,30,40,40,30,30,40
"383",40,40,40,40,40,40,40,40,20,30,40
"384",40,40,30,30,30,30,30,30,30,30,30
"385",30,30,30,30,30,30,30,30,30,30,NA
"386",40,40,30,40,40,40,40,40,40,40,30
"387",40,40,30,30,40,40,30,30,40,40,30
"388",40,40,40,40,40,40,40,40,40,30,40
"389",40,40,30,30,30,30,30,30,30,30,30
"390",40,40,40,40,40,40,40,40,30,40,40
"391",40,30,30,30,30,30,30,30,30,30,30
"392",40,40,30,30,30,30,40,40,30,30,30
"393",40,30,30,40,40,40,40,40,30,30,30
"394",40,40,40,40,30,30,40,40,30,40,30
"395",40,40,30,30,30,30,30,40,30,30,30
"396",30,30,30,30,30,30,30,30,30,30,30
"397",30,30,30,30,30,30,30,30,30,30,30
"398",40,40,40,40,40,40,30,40,NA,40,40
"399",40,40,30,30,30,30,30,30,40,10,20
"400",30,30,30,30,30,30,30,30,30,30,30
"401",30,40,30,30,40,40,40,40,40,40,30
"402",40,40,30,30,40,30,40,40,30,30,30
"403",40,30,40,40,30,30,30,30,30,40,30
"404",40,40,40,40,30,40,40,40,NA,30,40
"405",30,30,40,40,40,30,40,40,30,40,40
"406",40,40,40,40,40,40,30,40,40,40,40
"407",40,40,40,40,40,40,40,40,40,40,40
"408",40,40,30,30,30,30,40,40,40,30,40
"409",30,40,30,40,30,30,30,30,30,30,40
"410",30,30,30,30,30,40,20,40,30,30,40
"411",30,40,30,30,30,30,30,30,30,30,30
"412",30,40,30,30,40,30,40,40,20,40,40
"413",40,40,40,40,40,40,40,40,40,40,40
"414",40,40,40,40,40,40,40,40,40,40,40
"415",40,40,30,40,40,30,40,30,40,30,30
"416",40,30,30,30,40,40,40,40,30,30,30
"417",40,40,40,40,40,40,40,40,40,40,40
"418",40,40,40,40,30,40,40,40,40,30,40
"419",30,30,30,30,40,30,30,30,30,30,30
"420",30,30,30,30,30,30,30,30,30,30,30
"421",30,30,30,30,30,30,30,30,30,30,30
"422",30,30,30,30,30,30,30,30,30,30,30
"423",40,40,30,30,30,30,30,30,30,30,30
"424",30,30,NA,NA,30,NA,NA,30,20,30,30
"425",30,40,NA,NA,NA,NA,NA,NA,30,30,30
"426",30,30,30,30,30,30,30,40,30,30,30
"427",30,40,30,30,30,30,30,30,30,30,30
"428",40,40,40,30,40,40,40,40,40,40,40
"429",40,40,40,40,40,40,40,40,20,40,40
"430",40,40,40,40,40,40,40,40,40,40,40
"431",40,40,40,40,40,40,40,NA,30,NA,30
"432",30,30,30,30,30,30,30,30,20,30,30
"433",30,30,30,30,30,30,30,30,30,30,30
"434",30,30,30,30,30,30,30,30,20,30,30
"435",40,40,40,40,30,30,30,30,30,40,30
"436",40,40,40,30,30,40,40,30,30,30,30
"437",40,30,30,30,30,30,30,30,30,30,30
"438",40,40,30,30,30,30,30,40,30,40,30
"439",40,40,40,30,40,30,30,30,40,40,30
"440",40,40,40,40,40,30,40,40,30,30,40
"441",40,40,40,40,40,40,40,40,40,40,40
"442",30,40,40,40,40,40,40,40,40,40,30
"443",40,40,NA,40,40,40,40,40,40,40,40
"444",40,40,40,40,40,40,40,40,40,40,30
"445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446",40,40,40,40,40,40,40,40,40,40,40
"447",40,40,30,40,30,30,40,40,40,40,40
"448",40,40,40,40,30,40,30,40,40,40,40
"449",40,40,40,40,30,40,30,40,40,30,30
"450",40,40,40,40,30,30,30,40,40,30,40
"451",30,30,30,30,30,30,30,30,30,30,30
"452",40,40,30,40,30,30,30,40,30,30,30
"453",40,40,30,30,40,40,40,40,40,30,30
"454",40,40,40,40,30,40,30,40,40,30,30
